Player,Pos,Ht_in,Wt,Birth Date,Colleges
Alaa Abdelnaby,F-C,82,240.0,1968-06-24,Duke
Zaid Abdul-Aziz,C-F,81,235.0,1946-04-07,Iowa State
Kareem Abdul-Jabbar*,C,86,225.0,1947-04-16,UCLA
Mahmoud Abdul-Rauf,G,73,162.0,1969-03-09,LSU
Tariq Abdul-Wahad,F,78,223.0,1974-11-03,Michigan San Jose State
Shareef Abdur-Rahim,F,81,225.0,1976-12-11,California
Tom Abernethy,F,79,220.0,1954-05-06,Indiana
Forest Able,G,75,180.0,1932-07-27,Western Kentucky
John Abramovic,F,75,195.0,1919-02-09,Salem University
Álex Abrines,G-F,78,200.0,1993-08-01,
Precious Achiuwa,F,80,225.0,1999-09-19,Memphis
Alex Acker,G,77,185.0,1983-01-21,Pepperdine
Don Ackerman,G,72,183.0,1930-09-04,Long Island University
Mark Acres,F-C,83,220.0,1962-11-15,Oral Roberts
Bud Acton,F,78,210.0,1942-01-11,Hillsdale College
Quincy Acy,F-C,79,240.0,1990-10-06,Baylor
Alvan Adams,C-F,81,210.0,1954-07-19,Oklahoma
Don Adams,F,78,210.0,1947-11-27,Northwestern
George Adams,F-G,77,210.0,1949-05-15,Gardner-Webb University
Hassan Adams,G,76,220.0,1984-06-20,Arizona
Jaylen Adams,G,72,225.0,1996-05-04,St. Bonaventure
Jordan Adams,G,77,209.0,1994-07-08,UCLA
Michael Adams,G,70,162.0,1963-01-19,Boston College
Steven Adams,C,83,265.0,1993-07-20,Pitt
Rafael Addison,F-G,79,215.0,1964-07-22,Syracuse
Bam Adebayo,C-F,81,255.0,1997-07-18,Kentucky
Deng Adel,F,79,200.0,1997-02-01,Louisville
Rick Adelman*,G,73,175.0,1946-06-16,Loyola Marymount
Jeff Adrien,F,79,245.0,1986-02-10,UConn
Arron Afflalo,G-F,77,210.0,1985-10-15,UCLA
Maurice Ager,G,77,202.0,1984-02-09,Michigan State
Mark Aguirre,F-G,78,232.0,1959-12-10,DePaul
Blake Ahearn,G,74,190.0,1984-05-27,Missouri State
Danny Ainge,G,76,175.0,1959-03-17,BYU
Matthew Aitch,F,79,230.0,1944-09-21,Michigan State
Alexis Ajinça,C-F,86,248.0,1988-05-06,
Henry Akin,C-F,82,225.0,1944-07-31,Morehead State University
Josh Akognon,G,71,185.0,1986-02-10,Washington State Cal State Fullerton
DeVaughn Akoon-Purcell,G,78,200.0,1993-06-05,Illinois State
Solomon Alabi,C,85,251.0,1988-03-21,Florida State
Mark Alarie,F,80,217.0,1963-12-11,Duke
Gary Alcorn,C,81,225.0,1936-10-08,Fresno State
Santi Aldama,F,83,224.0,2001-01-10,Loyola (MD)
Furkan Aldemir,F-C,82,240.0,1991-08-09,
Cole Aldrich,C,83,250.0,1988-10-31,Kansas
LaMarcus Aldridge,F-C,83,250.0,1985-07-19,Texas
Chuck Aleksinas,C,83,260.0,1959-02-26,Kentucky UConn
Cliff Alexander,F,80,245.0,1995-11-16,Kansas
Cory Alexander,G,73,185.0,1973-06-22,Virginia
Courtney Alexander,G,77,205.0,1977-04-27,Virginia Fresno State
Gary Alexander,F,79,240.0,1969-11-01,South Florida
Joe Alexander,F,80,230.0,1986-12-26,West Virginia
Kyle Alexander,F,83,220.0,1996-10-21,Tennessee
Ty-Shon Alexander,G,75,195.0,1998-07-16,Creighton
Victor Alexander,C-F,81,265.0,1969-08-31,Iowa State
Nickeil Alexander-Walker,G,78,205.0,1998-09-02,Virginia Tech
Steve Alford,G,74,183.0,1964-11-23,Indiana
Rawle Alkins,G,77,225.0,1997-10-29,Arizona
Bob Allen,F,81,205.0,1946-07-17,Marshall
Grayson Allen,G,76,198.0,1995-10-08,Duke
Jarrett Allen,C-F,83,243.0,1998-04-21,Texas
Jerome Allen,G,76,184.0,1973-01-28,Penn
Kadeem Allen,G,73,200.0,1993-01-15,Arizona
Lavoy Allen,F-C,81,260.0,1989-02-04,Temple
Lucius Allen,G,74,175.0,1947-09-26,UCLA
Malik Allen,F-C,82,255.0,1978-06-27,Villanova
Randy Allen,F,80,220.0,1965-01-26,Florida State
Ray Allen*,G,77,205.0,1975-07-20,UConn
Tony Allen,G-F,76,213.0,1982-01-11,Butler County Community College Oklahoma State
Willie Allen,F,78,230.0,1949-02-08,Miami (FL)
Odis Allison,F,78,195.0,1949-10-02,UNLV
Lance Allred,C,83,250.0,1981-02-02,Utah Weber State
Darrell Allums,F,81,220.0,1958-09-12,UCLA
Morris Almond,G,78,225.0,1985-02-02,Rice University
Derrick Alston,F,83,225.0,1972-08-20,Duquesne
Rafer Alston,G,74,171.0,1976-07-24,Fresno State
Peter Aluma,C,82,260.0,1973-04-23,Liberty
Jose Alvarado,G,72,179.0,1998-04-12,Georgia Tech
John Amaechi,C-F,82,270.0,1970-11-26,Vanderbilt Penn State
Ashraf Amaya,F,80,230.0,1971-11-23,Southern Illinois
Al-Farouq Aminu,F,80,220.0,1990-09-21,Wake Forest
Lou Amundson,F-C,81,220.0,1982-12-07,UNLV
Bob Anderegg,F-G,75,200.0,1937-08-24,Michigan State
Chris Andersen,C-F,82,245.0,1978-07-07,Blinn College
David Andersen,C,83,245.0,1980-06-23,
Alan Anderson,G-F,78,220.0,1982-10-16,Michigan State
Andrew Anderson,G,74,184.0,1945-07-06,Canisius
Antonio Anderson,G,78,215.0,1985-06-05,Memphis
Cliff Anderson,G-F,74,200.0,1944-09-07,Saint Joseph's
Dan Anderson,C,82,230.0,1943-02-15,Augsburg College
Dan Anderson,G,74,185.0,1951-01-01,USC
Derek Anderson,G,77,194.0,1974-07-18,Ohio State Kentucky
Dwight Anderson,G,75,185.0,1960-12-28,Kentucky USC
Eric Anderson,F,81,220.0,1970-05-26,Indiana
Greg Anderson,F-C,82,230.0,1964-06-22,Houston
J.J. Anderson,F,80,195.0,1960-09-23,Bradley
James Anderson,G-F,78,213.0,1989-03-25,Oklahoma State
Jerome Anderson,G,77,195.0,1953-10-09,West Virginia
Justin Anderson,G,78,230.0,1993-11-19,Virginia
Kenny Anderson,G,72,168.0,1970-10-09,Georgia Tech
Kim Anderson,F,79,200.0,1955-05-12,Missouri
Kyle Anderson,F-G,81,230.0,1993-09-20,UCLA
Michael Anderson,G,71,184.0,1966-03-23,Drexel
Nick Anderson,F-G,78,205.0,1968-01-20,Illinois
Richard Anderson,F-C,82,240.0,1960-11-19,UC Santa Barbara
Ron Anderson,F-G,79,215.0,1958-10-15,Fresno State
Ryan Anderson,F,81,240.0,1988-05-06,California
Shandon Anderson,F-G,78,208.0,1973-12-31,Georgia
Willie Anderson,G-F,79,190.0,1967-01-08,Georgia
Wally Anderzunas,C-F,79,220.0,1946-01-11,Creighton
Martynas Andriuškevi?ius,C,86,240.0,1986-03-12,
Don Anielak,F,79,190.0,1930-11-01,Missouri State
Ike Anigbogu,F-C,82,250.0,1998-10-17,UCLA
Michael Ansley,F,79,225.0,1967-02-08,Alabama
Chris Anstey,C,84,249.0,1975-01-01,
Giannis Antetokounmpo,F-G,83,242.0,1994-12-06,
Kostas Antetokounmpo,F,82,200.0,1997-11-20,Dayton
Thanasis Antetokounmpo,F,78,219.0,1992-07-18,
Carmelo Anthony,F,79,238.0,1984-05-29,Syracuse
Cole Anthony,G,74,185.0,2000-05-15,UNC
